id,Title,url,Product סגנון היצירה,Product טכניקה,Product מצע,Length,Width,Height,filename
333,קוף אדום,https://under1000.co.il/wp-content/uploads/2021/03/Red-monkey.jpg,,טושים|צבעי אקריליק|צבעי שמן,קנבס,2.0,40.0,30.0,333.jpg
334,כלב עם קסדה,https://under1000.co.il/wp-content/uploads/2020/05/כלב-על-רקע-כחול-scaled.jpg,,צבעי אקריליק,עץ,3.0,30.0,35.0,334.jpg
469,עץ ועצה,,נאיבי,תפירה,פורמייקה,,30.0,30.0,
538,אבסטרקט-צהוב כחול ולבן,,,צבעי אקריליק,קנבס,,120.0,100.0,
550,קוצים לבנים (רקע אוקר),,,צבעי אקריליק,קנבס,,120.0,100.0,
564,בעל חיים -ברזל,,,,,15.0,30.0,30.0,
635,סוסים ירוקים,https://under1000.co.il/wp-content/uploads/2020/05/סוסים-ירוקים-על-וורוד-scaled.jpg,,צבעי אקריליק,קנבס,3.5,80.0,120.0,635.jpg
652,the artist,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_03-scaled.jpg,,דיו|טושים|ספריי|עפרונות,נייר,1.5,30.0,35.0,652.jpg
653,חייל מצטיין,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_04-scaled.jpg,,עפרונות|צבעי אקריליק,נייר,1.5,30.0,35.0,653.jpg
654,love is in the air,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_02-scaled.jpg,,דיו|טושים|ספריי|צבעי אקריליק,נייר,1.5,30.0,35.0,654.jpg
655,a shower of champion,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_01-scaled.jpg,,דיו|טושים|ספריי|צבעי אקריליק,נייר,1.5,30.0,35.0,655.jpg
711,מוכתם - 2,,,צבעי מים / אקוורל|צבעי שמן,נייר,,50.0,70.0,
750,פורטרייט גבר כחול,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_05-scaled.jpg,,דיו|טושים|ספריי|עפרונות|צבעי אקריליק,נייר,1.5,30.0,35.0,750.jpg
751,Fuck off,https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_06-scaled.jpg,,דיו|טושים|ספריי|עפרונות,נייר,1.5,30.0,35.0,751.jpg
753,My alter ego,https://under1000.co.il/wp-content/uploads/2020/05/אגו-לפנים-scaled.jpg,,טושים|צבעי אקריליק,קנבס,2.5,35.0,45.0,753.jpg
754,חתול כחול,https://under1000.co.il/wp-content/uploads/2020/05/CAT.jpg,,צבעי אקריליק,קנבס,3.5,70.0,90.0,754.jpg
762,BE HAPPY,https://under1000.co.il/wp-content/uploads/2020/05/BE-HAPPY.jpg,,צבעי אקריליק,קנבס,2.5,35.0,45.0,762.jpg
765,שעת הציידים,https://under1000.co.il/wp-content/uploads/2020/05/Duck.jpg,,צבעי אקריליק,קנבס,3.5,40.0,50.0,765.jpg
767,Love love,https://under1000.co.il/wp-content/uploads/2020/05/LOVE02.jpg,,טושים|ספריי|צבעי אקריליק,קנבס,2.5,30.0,40.0,767.jpg
851,Horse_Mom,https://under1000.co.il/wp-content/uploads/2020/05/MOM.jpg,,צבעי אקריליק,קנבס,3.5,80.0,120.0,851.jpg
956,גבר עם כוס משקה,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.45-PM-2.jpeg,,חיתוך לייזר,,,30.0,40.0,956.jpg
964,אישה עם תרמיל ירוק,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.47-PM.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,964.jpg
965,אישה עם טרולי,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.45-PM-1-1.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,965.jpg
967,ילדה על קורקינט,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.46-PM-1-1.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,967.jpg
968,ילדה עם זר,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.46-PM-2.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,968.jpg
969,בחורה עם תיק קטן,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.44-PM.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,969.jpg
971,גבר הולך עם כובע,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.46-PM-3.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,971.jpg
972,אישה עם שמלה כתומה צהובה,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.45-PM.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,972.jpg
974,איש במשקפי שמש,https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-27-at-4.17.16-PM.jpeg,,חיתוך לייזר,מתכת,,30.0,40.0,974.jpg
1045,Daniella,https://under1000.co.il/wp-content/uploads/2020/05/Daniella-scaled.jpg,,צבעי אקריליק,קנבס,3.0,80.0,120.0,1045.jpg
1054,Still life with Cauliflower,https://under1000.co.il/wp-content/uploads/2020/05/Cauliflower.jpg,,צבעי שמן,קנבס,2.0,70.0,50.0,1054.jpg
1057,Oranges in the package,https://under1000.co.il/wp-content/uploads/2020/05/Oranges-in-the-package.jpg,,צבעי שמן,קנבס,2.0,70.0,50.0,1057.jpg
1084,Still life with eggs,https://under1000.co.il/wp-content/uploads/2020/05/Still-life-with-eggs.jpg,,צבעי שמן,קנבס,2.0,70.0,50.0,1084.jpg
1108,Manuella,https://under1000.co.il/wp-content/uploads/2020/05/Manuella.jpg,,צבעי אקריליק,קנבס,3.0,90.0,90.0,1108.jpg
1175,מתבוננים,https://under1000.co.il/wp-content/uploads/2020/05/737f9944-a04b-4038-8292-92dcf1c91752.jpg,,צבעי אקריליק,קנבס,,40.0,50.0,1175.jpg
1179,El Amor En Los Tiempos De Corona,https://under1000.co.il/wp-content/uploads/2020/06/101883445_2625349744369185_3382570763197349888_n.jpg,אמנות רחוב,צבעי אקריליק,עץ,1.0,80.0,25.0,1179.jpg
1181,Mask,https://under1000.co.il/wp-content/uploads/2020/05/2972b1fb-e200-4e8b-95f7-ad8d9ba3bef6.jpg,,צבעי אקריליק,קנבס,,100.0,100.0,1181.jpg
1200,רוקדת לחופש,https://under1000.co.il/wp-content/uploads/2020/05/3a125478-d943-4b58-a844-10e95b92cf40.jpg,,צבעי אקריליק,קנבס,,60.0,90.0,1200.jpg
1241,TLV BLUE &amp; WHITE,https://under1000.co.il/wp-content/uploads/2020/06/101400146_843702626039029_7208811639481565184_n.jpg,,צבעי אקריליק,עץ,1.0,80.0,25.0,1241.jpg
1256,תל אביב הישנה,https://under1000.co.il/wp-content/uploads/2020/06/130X100A-scaled.jpg,,צבעי אקריליק,קנבס,3.0,130.0,100.0,1256.jpg
1265,פריים ביתי,https://under1000.co.il/wp-content/uploads/2020/06/100X50A-2-scaled.jpg,,צבעי אקריליק,קנבס,3.0,100.0,50.0,1265.jpg
1311,Surprise,https://under1000.co.il/wp-content/uploads/2020/06/B2678A16-E1D5-42B0-BB10-C65E545C1EEA-scaled.jpeg,,צבעי אקריליק,קנבס,3.0,90.0,100.0,1311.jpg
1361,מסלולי החיים,,,צבעי אקריליק,קנבס,3.0,130.0,65.0,
1445,אשליה,https://under1000.co.il/wp-content/uploads/2020/06/IMG_20200604_214534_995.jpg,,,,3.0,70.0,60.0,1445.jpg
1448,עיר בערפל,https://under1000.co.il/wp-content/uploads/2020/06/IMG_20200604_214534_995.jpg,,,,2.5,50.0,70.0,1448.jpg
1455,עיר בערפל,https://under1000.co.il/wp-content/uploads/2020/06/20200604_213553-scaled.jpg,מופשט,צבעי אקריליק,קנבס,2.0,50.0,70.0,1455.jpg
1457,סופת חול,https://under1000.co.il/wp-content/uploads/2020/06/6b8c284d-a880-4fce-bf0f-1b8df6c96e4c.jpg,מופשט,צבעי אקריליק,קנבס,2.0,60.0,40.0,1457.jpg
1459,תפוס את הכדור,https://under1000.co.il/wp-content/uploads/2020/06/זוג-מפלצות.jpg,סוריאליזם,צבעי אקריליק,קנבס,42.0,3.0,57.0,1459.jpg
1465,סוס פרא עם כוכב,https://under1000.co.il/wp-content/uploads/2020/06/סוס-עם-כוכב-01.jpg,פיגורטיבי,צבעי אקריליק,עץ,80.0,3.5,120.0,1465.jpg
1514,בחורה וחתול,https://under1000.co.il/wp-content/uploads/2020/06/35A70B23-E425-42B1-B32C-22E95BB5B725.jpeg,דיוקנאות|פיגורטיבי,צבעי אקריליק|צבעי שמן,קנבס,3.0,40.0,40.0,1514.jpg
1521,ויולט,https://under1000.co.il/wp-content/uploads/2020/06/91DA601B-B6E0-42CB-9930-16C4DFAB828B-scaled.jpeg,דיוקנאות|פיגורטיבי,צבעי אקריליק|צבעי שמן,קנבס,3.0,30.0,40.0,1521.jpg
1524,בלונדינית,https://under1000.co.il/wp-content/uploads/2020/06/93821666-4A95-41FE-83EA-754F13D4E19C-scaled.jpeg,פיגורטיבי,צבעי אקריליק|צבעי שמן,קנבס,3.0,30.0,40.0,1524.jpg
1527,louder at 14:00,https://under1000.co.il/wp-content/uploads/2020/06/865A9657-4C6A-4BF7-89D1-BAC2D9EC4FC6.jpeg,,,,,,,1527.jpg
1533,דמויות משולבות,https://under1000.co.il/wp-content/uploads/2020/06/60366735-628B-4F1E-BEC6-2152FCF78DD0-scaled.jpeg,,,,,,,1533.jpg
1535,ארבע דמויות חתוליות,https://under1000.co.il/wp-content/uploads/2020/06/AD9324CB-32B6-49D4-99CC-FAB7C0811758-scaled.jpeg,,,,,,,1535.jpg
1545,שקיעה,,,צבעי אקריליק,קנבס,120.0,3.0,100.0,
1546,זוג שחור לבן 1,,,צבעי אקריליק,קנבס,60.0,3.0,80.0,
1549,זוג שחור לבן 2,,,צבעי אקריליק,קנבס,60.0,3.0,80.0,
